date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:57:42	13202/13202	---M-Z	200	added ('OK')	text/html	etag:%223392-555297c78b7b9-gzip%22	https://bigbangthemes.net/3Angle_HTML/contact.html	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/contact.html	(from https://bigbangthemes.net/3Angle_HTML/)
21:57:42	3544/3544	---M--	200	added ('OK')	image/png	etag:%22dd8-4eb79d1c8a380%22	https://bigbangthemes.net/3Angle_HTML/img/icons/s_rocket.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/icons/s_rocket.png	(from https://bigbangthemes.net/3Angle_HTML/)
21:57:42	3909/3909	---M--	200	added ('OK')	image/png	etag:%22f45-4eb79d1c8a380%22	https://bigbangthemes.net/3Angle_HTML/img/icons/s_globe.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/icons/s_globe.png	(from https://bigbangthemes.net/3Angle_HTML/)
21:57:42	3578/3578	---M--	200	added ('OK')	image/png	etag:%22dfa-4eb79d1c8a380%22	https://bigbangthemes.net/3Angle_HTML/img/icons/s_umbrella.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/icons/s_umbrella.png	(from https://bigbangthemes.net/3Angle_HTML/)
21:57:44	138858/138858	---M--	200	added ('OK')	image/jpeg	etag:%2221e6a-4eb79d05a6d80%22	https://bigbangthemes.net/3Angle_HTML/img/demo/gallery-1.jpg	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/demo/gallery-1.jpg	(from https://bigbangthemes.net/3Angle_HTML/)
21:57:44	148463/148463	---M--	200	added ('OK')	image/jpeg	etag:%22243ef-4eb79d05a6d80%22	https://bigbangthemes.net/3Angle_HTML/img/demo/gallery-2.jpg	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/demo/gallery-2.jpg	(from https://bigbangthemes.net/3Angle_HTML/)
21:57:45	119754/119754	---M--	200	added ('OK')	image/jpeg	etag:%221d3ca-4eb79d069afc0%22	https://bigbangthemes.net/3Angle_HTML/img/demo/gallery-3.jpg	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/demo/gallery-3.jpg	(from https://bigbangthemes.net/3Angle_HTML/)
21:57:46	65965/65965	---M--	200	added ('OK')	image/png	etag:%22101ad-4eb79d3461bc0%22	https://bigbangthemes.net/3Angle_HTML/img/demo/testimonials/1.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/demo/testimonials/1.png	(from https://bigbangthemes.net/3Angle_HTML/)
21:57:46	54721/54721	---M--	200	added ('OK')	image/png	etag:%22d5c1-4eb79d3555e00%22	https://bigbangthemes.net/3Angle_HTML/img/demo/testimonials/2.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/demo/testimonials/2.png	(from https://bigbangthemes.net/3Angle_HTML/)
21:57:46	57783/57783	---M--	200	added ('OK')	image/png	etag:%22e1b7-4eb79d3555e00%22	https://bigbangthemes.net/3Angle_HTML/img/demo/testimonials/3.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/demo/testimonials/3.png	(from https://bigbangthemes.net/3Angle_HTML/)
21:57:46	6610/6610	---M--	200	added ('OK')	image/png	etag:%2219d2-4eb79d02ca6c0%22	https://bigbangthemes.net/3Angle_HTML/img/demo/client-1.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/demo/client-1.png	(from https://bigbangthemes.net/3Angle_HTML/)
21:57:47	126346/126346	---M--	200	added ('OK')	image/jpeg	etag:%221ed8a-4eb79d078f200%22	https://bigbangthemes.net/3Angle_HTML/img/demo/gallery-4.jpg	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/demo/gallery-4.jpg	(from https://bigbangthemes.net/3Angle_HTML/)
21:57:47	6659/6659	---M--	200	added ('OK')	image/png	etag:%221a03-4eb79d02ca6c0%22	https://bigbangthemes.net/3Angle_HTML/img/demo/client-2.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/demo/client-2.png	(from https://bigbangthemes.net/3Angle_HTML/)
21:57:47	6138/6138	---M--	200	added ('OK')	image/png	etag:%2217fa-4eb79d03be900%22	https://bigbangthemes.net/3Angle_HTML/img/demo/client-3.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/demo/client-3.png	(from https://bigbangthemes.net/3Angle_HTML/)
21:57:47	4766/4766	---M--	200	added ('OK')	image/png	etag:%22129e-4eb79cffee000%22	https://bigbangthemes.net/3Angle_HTML/img/footer-logo.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/footer-logo.png	(from https://bigbangthemes.net/3Angle_HTML/)
21:57:48	93056/93056	---M-Z	200	added ('OK')	application/javascript	etag:%2216b80-4eb79d38324c0-gzip%22	https://bigbangthemes.net/3Angle_HTML/js/jquery.min.js	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/js/jquery.min.js	(from https://bigbangthemes.net/3Angle_HTML/)
21:57:48	16033/16033	---M-Z	200	added ('OK')	application/javascript	etag:%223ea1-4eb79d373e280-gzip%22	https://bigbangthemes.net/3Angle_HTML/js/isotope.js	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/js/isotope.js	(from https://bigbangthemes.net/3Angle_HTML/)
21:57:48	45735/45735	---M-Z	200	added ('OK')	application/javascript	etag:%22b2a7-4eb79d38324c0-gzip%22	https://bigbangthemes.net/3Angle_HTML/js/parsley.js	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/js/parsley.js	(from https://bigbangthemes.net/3Angle_HTML/)
21:57:49	5955/5955	---M-Z	200	added ('OK')	application/javascript	etag:%221743-4eb79d38324c0-gzip%22	https://bigbangthemes.net/3Angle_HTML/js/script.js	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/js/script.js	(from https://bigbangthemes.net/3Angle_HTML/)
21:57:49	4684/4684	---M--	200	added ('OK')	image/png	etag:%22124c-4eb79d00e2240%22	https://bigbangthemes.net/3Angle_HTML/img/sprite.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/sprite.png	(from https://bigbangthemes.net/3Angle_HTML/css/layout.css)
21:57:49	4899/4899	---M--	200	added ('OK')	image/png	etag:%221323-4eb79d00e2240%22	https://bigbangthemes.net/3Angle_HTML/img/socialsprite.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/socialsprite.png	(from https://bigbangthemes.net/3Angle_HTML/css/layout.css)
21:57:54	798635/798635	---M--	200	added ('OK')	image/png	etag:%22c2fab-4eb79d0b5fb00%22	https://bigbangthemes.net/3Angle_HTML/img/demo/index-header.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/demo/index-header.png	(from https://bigbangthemes.net/3Angle_HTML/css/layout.css)
21:57:54	656107/656107	---M--	200	added ('OK')	image/png	etag:%22a02eb-4eb79d0d47f80%22	https://bigbangthemes.net/3Angle_HTML/img/demo/small-header-2.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/demo/small-header-2.png	(from https://bigbangthemes.net/3Angle_HTML/css/layout.css)
21:57:54	404218/404218	---M--	200	added ('OK')	image/png	etag:%2262afa-4eb79d0a6b8c0%22	https://bigbangthemes.net/3Angle_HTML/img/demo/small-header-1.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/demo/small-header-1.png	(from https://bigbangthemes.net/3Angle_HTML/css/layout.css)
21:57:58	3101/3101	---M--	200	added ('OK')	image/png	etag:%22c1d-4eb79d19adcc0%22	https://bigbangthemes.net/3Angle_HTML/img/icons/arrow-normal.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/icons/arrow-normal.png	(from https://bigbangthemes.net/3Angle_HTML/css/layout.css)
21:57:58	514270/514270	---M--	200	added ('OK')	image/png	etag:%227d8de-4eb79d120cac0%22	https://bigbangthemes.net/3Angle_HTML/img/demo/small-header-4.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/demo/small-header-4.png	(from https://bigbangthemes.net/3Angle_HTML/css/layout.css)
21:57:58	3212/3212	---M--	200	added ('OK')	image/png	etag:%22c8c-4eb79d18b9a80%22	https://bigbangthemes.net/3Angle_HTML/img/icons/arrow-hover.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/icons/arrow-hover.png	(from https://bigbangthemes.net/3Angle_HTML/css/layout.css)
21:57:58	544/544	---M--	200	added ('OK')	image/png	etag:%22220-4eb79d1e72800%22	https://bigbangthemes.net/3Angle_HTML/img/portfolio-type/video.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/portfolio-type/video.png	(from https://bigbangthemes.net/3Angle_HTML/css/layout.css)
21:57:59	464027/464027	---M--	200	added ('OK')	image/png	etag:%227149b-4eb79d1118880%22	https://bigbangthemes.net/3Angle_HTML/img/demo/small-header-3.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/demo/small-header-3.png	(from https://bigbangthemes.net/3Angle_HTML/css/layout.css)
21:57:59	331/331	---M--	200	added ('OK')	image/png	etag:%2214b-4eb79d1e72800%22	https://bigbangthemes.net/3Angle_HTML/img/portfolio-type/image.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/portfolio-type/image.png	(from https://bigbangthemes.net/3Angle_HTML/css/layout.css)
21:57:59	532/532	---M--	200	added ('OK')	image/png	etag:%22214-4eb79d1e72800%22	https://bigbangthemes.net/3Angle_HTML/img/portfolio-type/gallery.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/portfolio-type/gallery.png	(from https://bigbangthemes.net/3Angle_HTML/css/layout.css)
21:57:59	277/277	---M--	200	added ('OK')	image/png	etag:%22115-4eb79d1aa1f00%22	https://bigbangthemes.net/3Angle_HTML/img/icons/author.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/icons/author.png	(from https://bigbangthemes.net/3Angle_HTML/css/layout.css)
21:58:00	363/363	---M--	200	added ('OK')	image/png	etag:%2216b-4eb79d1aa1f00%22	https://bigbangthemes.net/3Angle_HTML/img/icons/category.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/icons/category.png	(from https://bigbangthemes.net/3Angle_HTML/css/layout.css)
21:58:00	333/333	---M--	200	added ('OK')	image/png	etag:%2214d-4eb79d1b96140%22	https://bigbangthemes.net/3Angle_HTML/img/icons/comments.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/icons/comments.png	(from https://bigbangthemes.net/3Angle_HTML/css/layout.css)
21:58:01	455458/455458	---M--	200	added ('OK')	image/png	etag:%226f322-4eb79d1b96140%22	https://bigbangthemes.net/3Angle_HTML/img/demo/small-header-5.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/demo/small-header-5.png	(from https://bigbangthemes.net/3Angle_HTML/css/layout.css)
21:58:01	274425/274425	---M--	200	added ('OK')	image/png	etag:%2242ff9-4eb79d27fbe80%22	https://bigbangthemes.net/3Angle_HTML/img/demo/portfolio/1.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/demo/portfolio/1.png	(from https://bigbangthemes.net/3Angle_HTML/about.html)
21:58:03	220241/220241	---M--	200	added ('OK')	image/png	etag:%2235c51-4eb79d29e4300%22	https://bigbangthemes.net/3Angle_HTML/img/demo/portfolio/3.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/demo/portfolio/3.png	(from https://bigbangthemes.net/3Angle_HTML/portfolio.html)
21:58:04	195857/195857	---M--	200	added ('OK')	image/png	etag:%222fd11-4eb79d2f9d080%22	https://bigbangthemes.net/3Angle_HTML/img/demo/portfolio/6.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/demo/portfolio/6.png	(from https://bigbangthemes.net/3Angle_HTML/portfolio.html)
21:58:04	228502/228502	---M--	200	added ('OK')	image/png	etag:%2237c96-4eb79d2bcc780%22	https://bigbangthemes.net/3Angle_HTML/img/demo/portfolio/4.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/demo/portfolio/4.png	(from https://bigbangthemes.net/3Angle_HTML/about.html)
21:58:05	196459/196459	---M--	200	added ('OK')	image/png	etag:%222ff6b-4eb79d2bcc780%22	https://bigbangthemes.net/3Angle_HTML/img/demo/portfolio/5.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/demo/portfolio/5.png	(from https://bigbangthemes.net/3Angle_HTML/portfolio.html)
21:58:05	220471/220471	---M--	200	added ('OK')	image/png	etag:%2235d37-4eb79d2f9d080%22	https://bigbangthemes.net/3Angle_HTML/img/demo/portfolio/7.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/demo/portfolio/7.png	(from https://bigbangthemes.net/3Angle_HTML/portfolio.html)
21:58:05	250735/250735	---M--	200	added ('OK')	image/png	etag:%223d36f-4eb79d2ad8540%22	https://bigbangthemes.net/3Angle_HTML/img/demo/portfolio/2.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/demo/portfolio/2.png	(from https://bigbangthemes.net/3Angle_HTML/about.html)
21:58:06	244184/244184	---M--	200	added ('OK')	image/png	etag:%223b9d8-4eb79d3279740%22	https://bigbangthemes.net/3Angle_HTML/img/demo/portfolio/8.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/demo/portfolio/8.png	(from https://bigbangthemes.net/3Angle_HTML/portfolio.html)
21:58:06	177949/177949	---M--	200	added ('OK')	image/png	etag:%222b71d-4eb79d2243100%22	https://bigbangthemes.net/3Angle_HTML/img/demo/blog/1.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/demo/blog/1.png	(from https://bigbangthemes.net/3Angle_HTML/blog.html)
21:58:07	238427/238427	---M--	200	added ('OK')	image/png	etag:%223a35b-4eb79d3185500%22	https://bigbangthemes.net/3Angle_HTML/img/demo/portfolio/9.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/demo/portfolio/9.png	(from https://bigbangthemes.net/3Angle_HTML/portfolio.html)
21:58:08	178773/178773	---M--	200	added ('OK')	image/png	etag:%222ba55-4eb79d251f7c0%22	https://bigbangthemes.net/3Angle_HTML/img/demo/blog/3.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/demo/blog/3.png	(from https://bigbangthemes.net/3Angle_HTML/blog.html)
21:58:10	251070/251070	---M--	200	added ('OK')	image/png	etag:%223d4be-4eb79d2243100%22	https://bigbangthemes.net/3Angle_HTML/img/demo/blog/2.png	C:/My%20Web%20Sites/3angle/bigbangthemes.net/3Angle_HTML/img/demo/blog/2.png	(from https://bigbangthemes.net/3Angle_HTML/blog.html)
